DrugBank_ID,PubChem_CID,SMILES
DB01124,5505.0,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
DB00238,4463.0,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
DB01319,131536.0,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N
DB00182,3007.0,CC(CC1=CC=CC=C1)N
DB00816,4086.0,CC(C)NCC(C1=CC(=CC(=C1)O)O)O
DB00328,3715.0,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
DB04272,311.0,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
DB00502,3559.0,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
DB01367,3052776.0,C#CCNC1CCC2=CC=CC=C12
DB08976,3360.0,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F
DB00257,2812.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
DB00715,43815.0,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
DB01036,443879.0,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
DB06290,118984465.0,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC
DB01201,135403821.0,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C
DB09068,9966051.0,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
